#node	identifier	node_degree
ABI1	9606.ENSP00000365312	16
ABI3	9606.ENSP00000225941	25
AJAP1	9606.ENSP00000367433	7
AKAP8	9606.ENSP00000269701	9
AKAP8L	9606.ENSP00000380557	5
AP1S3	9606.ENSP00000379891	8
APLF	9606.ENSP00000307004	6
ATXN2	9606.ENSP00000366843	24
B4GALNT1	9606.ENSP00000341562	15
BACH2	9606.ENSP00000257749	76
BAD	9606.ENSP00000378040	15
BATF	9606.ENSP00000286639	69
BATF3	9606.ENSP00000243440	50
BCL2L11	9606.ENSP00000376943	66
BLK	9606.ENSP00000259089	83
BMP8A	9606.ENSP00000327440	5
CAMK2G	9606.ENSP00000319060	20
CAMK4	9606.ENSP00000282356	25
CARD9	9606.ENSP00000360797	71
CASP7	9606.ENSP00000358327	42
CBX3	9606.ENSP00000336687	25
CCDC88B	9606.ENSP00000349238	19
CCL11	9606.ENSP00000302234	65
CCL19	9606.ENSP00000308815	75
CCL2	9606.ENSP00000225831	115
CCL20	9606.ENSP00000351671	84
CCL21	9606.ENSP00000259607	72
CCL22	9606.ENSP00000219235	70
CCL27	9606.ENSP00000259631	58
CCL7	9606.ENSP00000367832	63
CCR7	9606.ENSP00000246657	98
CD2	9606.ENSP00000358490	82
CD226	9606.ENSP00000280200	68
CD244	9606.ENSP00000357012	75
CD274	9606.ENSP00000370989	99
CDC37	9606.ENSP00000222005	18
CDHR5	9606.ENSP00000351118	6
CDK2	9606.ENSP00000266970	68
CEBPA	9606.ENSP00000427514	71
CLNK	9606.ENSP00000226951	16
CTLA4	9606.ENSP00000303939	123
CTRB1	9606.ENSP00000354294	14
CTRB2	9606.ENSP00000303963	12
CTSH	9606.ENSP00000220166	35
CUL2	9606.ENSP00000444856	29
CX3CL1	9606.ENSP00000006053	68
CXCL3	9606.ENSP00000296026	53
CXCL5	9606.ENSP00000296027	69
CXCR1	9606.ENSP00000295683	66
CXCR2	9606.ENSP00000319635	76
CXCR5	9606.ENSP00000292174	86
CYP24A1	9606.ENSP00000216862	20
DAP	9606.ENSP00000230895	2
DDX6	9606.ENSP00000478754	33
DENND1B	9606.ENSP00000479816	47
DGKE	9606.ENSP00000284061	8
DHODH	9606.ENSP00000219240	24
DHX58	9606.ENSP00000251642	45
DNASE1	9606.ENSP00000385905	20
DNLZ	9606.ENSP00000360803	7
DOK6	9606.ENSP00000372160	9
DRD4	9606.ENSP00000176183	11
EDN3	9606.ENSP00000337128	12
EOMES	9606.ENSP00000388620	70
ERBB3	9606.ENSP00000267101	57
ESRRA	9606.ENSP00000384851	32
ETS1	9606.ENSP00000376436	81
ETS2	9606.ENSP00000353344	41
EVI5	9606.ENSP00000359356	11
EXTL2	9606.ENSP00000359132	6
FADS1	9606.ENSP00000322229	18
FADS2	9606.ENSP00000278840	20
FADS3	9606.ENSP00000278829	7
FAP	9606.ENSP00000188790	26
FASLG	9606.ENSP00000356694	86
FBXO48	9606.ENSP00000367193	3
FCGR2A	9606.ENSP00000271450	96
FCGR3A	9606.ENSP00000356946	99
FCRL3	9606.ENSP00000357167	43
FDX1L	9606.ENSP00000377311	11
FEM1A	9606.ENSP00000269856	10
FEN1	9606.ENSP00000305480	22
FERMT1	9606.ENSP00000217289	6
FGF21	9606.ENSP00000471477	41
FOS	9606.ENSP00000306245	116
FOSL2	9606.ENSP00000264716	44
FUT1	9606.ENSP00000312021	15
FUT2	9606.ENSP00000387498	38
GALC	9606.ENSP00000261304	22
GALNT10	9606.ENSP00000297107	7
GATA3	9606.ENSP00000368632	103
GBA	9606.ENSP00000314508	17
GLRX2	9606.ENSP00000356410	13
GNA12	9606.ENSP00000275364	58
GNAS	9606.ENSP00000360141	49
GNGT2	9606.ENSP00000426022	20
GPR65	9606.ENSP00000267549	55
GPSM1	9606.ENSP00000392828	22
GPX4	9606.ENSP00000346103	22
GRB2	9606.ENSP00000376345	67
GRHL2	9606.ENSP00000251808	13
GSDMA	9606.ENSP00000301659	26
GSDMB	9606.ENSP00000415049	41
HAVCR2	9606.ENSP00000312002	74
HCRT	9606.ENSP00000293330	15
HECA	9606.ENSP00000356630	15
HHEX	9606.ENSP00000282728	22
HMOX1	9606.ENSP00000216117	72
HNF1A	9606.ENSP00000257555	27
HORMAD2	9606.ENSP00000336984	14
HP	9606.ENSP00000348170	42
HPR	9606.ENSP00000441828	8
HSPA6	9606.ENSP00000310219	35
ICAM3	9606.ENSP00000160262	47
ICAM4	9606.ENSP00000342114	9
ICAM5	9606.ENSP00000221980	16
IFI30	9606.ENSP00000384886	39
IFNGR2	9606.ENSP00000290219	58
IKZF1	9606.ENSP00000331614	95
IKZF3	9606.ENSP00000344544	73
IKZF4	9606.ENSP00000262032	46
IL10	9606.ENSP00000412237	144
IL12A	9606.ENSP00000303231	36
IL12B	9606.ENSP00000231228	37
IL12RB2	9606.ENSP00000262345	74
IL13	9606.ENSP00000304915	112
IL16	9606.ENSP00000302935	81
IL18R1	9606.ENSP00000387211	98
IL18RAP	9606.ENSP00000264260	80
IL19	9606.ENSP00000343000	52
IL1RL1	9606.ENSP00000233954	72
IL20	9606.ENSP00000356065	16
IL21	9606.ENSP00000264497	55
IL22RA2	9606.ENSP00000296980	43
IL23R	9606.ENSP00000321345	98
IL2RA	9606.ENSP00000369293	110
IL2RB	9606.ENSP00000216223	100
IL4	9606.ENSP00000231449	131
IL7R	9606.ENSP00000306157	106
INPP5E	9606.ENSP00000360777	8
IRF1	9606.ENSP00000245414	102
IRF5	9606.ENSP00000349770	99
IRF7	9606.ENSP00000380697	88
IRF8	9606.ENSP00000268638	115
IRGM	9606.ENSP00000428220	53
ITGA4	9606.ENSP00000380227	75
ITGAX	9606.ENSP00000454623	108
ITK	9606.ENSP00000398655	66
ITLN1	9606.ENSP00000323587	30
IZUMO1	9606.ENSP00000327786	10
JAK2	9606.ENSP00000371067	124
JAZF1	9606.ENSP00000283928	31
KAT2A	9606.ENSP00000225916	40
KCNE1	9606.ENSP00000337255	2
KCNH4	9606.ENSP00000264661	9
KCNK4	9606.ENSP00000444948	12
KEAP1	9606.ENSP00000171111	44
KIAA1109	9606.ENSP00000264501	32
KIF21B	9606.ENSP00000411831	45
KRTCAP2	9606.ENSP00000295682	11
KSR1	9606.ENSP00000381958	33
LACC1	9606.ENSP00000391747	28
LBH	9606.ENSP00000378733	2
LIF	9606.ENSP00000249075	62
LMF1	9606.ENSP00000262301	4
LRP1	9606.ENSP00000243077	37
LRRIQ4	9606.ENSP00000342188	8
MALT1	9606.ENSP00000319279	31
MAMSTR	9606.ENSP00000324175	2
MARS2	9606.ENSP00000282276	8
MED7	9606.ENSP00000286317	15
MFHAS1	9606.ENSP00000276282	11
MMP9	9606.ENSP00000361405	111
MPV17L2	9606.ENSP00000469836	6
MTX1	9606.ENSP00000357360	11
MUC1	9606.ENSP00000484824	48
MXD3	9606.ENSP00000401867	5
MYNN	9606.ENSP00000326240	9
MYO1A	9606.ENSP00000393392	14
MYRF	9606.ENSP00000278836	10
NAB2	9606.ENSP00000300131	13
NDFIP1	9606.ENSP00000253814	19
NDST2	9606.ENSP00000310657	3
NFE2L3	9606.ENSP00000056233	15
NKX2-3	9606.ENSP00000342828	41
NOD2	9606.ENSP00000300589	109
NOX4	9606.ENSP00000263317	43
NRROS	9606.ENSP00000328625	38
NSL1	9606.ENSP00000355944	3
NTN5	9606.ENSP00000270235	7
OR6K2	9606.ENSP00000352626	1
OR6K3	9606.ENSP00000357127	1
ORMDL3	9606.ENSP00000377724	63
OS9	9606.ENSP00000318165	11
OSMR	9606.ENSP00000274276	28
P4HA2	9606.ENSP00000384999	17
PADI4	9606.ENSP00000364597	36
PADI6	9606.ENSP00000483125	5
PARK7	9606.ENSP00000418770	35
PARP12	9606.ENSP00000263549	17
PF4	9606.ENSP00000296029	46
PFDN4	9606.ENSP00000360473	10
PHF19	9606.ENSP00000483946	11
PHOSPHO1	9606.ENSP00000406909	9
PIGX	9606.ENSP00000296333	0
PIK3R2	9606.ENSP00000222254	34
PKD1L3	9606.ENSP00000480090	5
PKIA	9606.ENSP00000379696	7
PKIG	9606.ENSP00000361980	7
PLAU	9606.ENSP00000361850	53
PLCL1	9606.ENSP00000402861	25
PLEKHH2	9606.ENSP00000282406	3
PLGRKT	9606.ENSP00000223864	9
PLIN3	9606.ENSP00000221957	9
PMEL	9606.ENSP00000402758	43
PMPCA	9606.ENSP00000360782	10
POLR2E	9606.ENSP00000478303	20
PPBP	9606.ENSP00000296028	54
PPIL2	9606.ENSP00000334553	12
PPP1R3B	9606.ENSP00000308318	11
PRDX5	9606.ENSP00000265462	20
PRELID1	9606.ENSP00000302114	9
PRKCB	9606.ENSP00000305355	60
PTPN22	9606.ENSP00000352833	107
PTPRC	9606.ENSP00000411355	134
PTTG1	9606.ENSP00000377536	23
PVR	9606.ENSP00000402060	32
RAB24	9606.ENSP00000304376	7
RAB3A	9606.ENSP00000222256	20
RAB5B	9606.ENSP00000353444	19
RAB5C	9606.ENSP00000447053	19
RASAL3	9606.ENSP00000341905	41
RASIP1	9606.ENSP00000222145	14
RAVER1	9606.ENSP00000293677	19
RBM17	9606.ENSP00000388638	11
RETNLB	9606.ENSP00000295755	38
RGS1	9606.ENSP00000356429	74
RIMBP3C	9606.ENSP00000390630	2
RNFT1	9606.ENSP00000304670	5
RPL3	9606.ENSP00000346001	20
RPS26	9606.ENSP00000348849	17
RPS6KA4	9606.ENSP00000333896	26
RPS6KB1	9606.ENSP00000225577	62
SAMSN1	9606.ENSP00000285670	48
SBK1	9606.ENSP00000343248	3
SCHIP1	9606.ENSP00000404860	15
SCT	9606.ENSP00000176195	13
SDF2L1	9606.ENSP00000248958	9
SERINC3	9606.ENSP00000340243	8
SESN3	9606.ENSP00000441927	9
SLC12A5	9606.ENSP00000387694	14
SLC15A4	9606.ENSP00000266771	20
SLC22A4	9606.ENSP00000200652	38
SLC22A5	9606.ENSP00000245407	34
SLC26A3	9606.ENSP00000345873	15
SLC7A10	9606.ENSP00000253188	8
SLC9A3	9606.ENSP00000264938	18
SLC9A4	9606.ENSP00000295269	17
SLITRK1	9606.ENSP00000366288	10
SLU7	9606.ENSP00000297151	19
SLX4	9606.ENSP00000294008	6
SMARCE1	9606.ENSP00000323967	14
SNAPC4	9606.ENSP00000298532	19
SOX8	9606.ENSP00000293894	25
SP110	9606.ENSP00000258381	22
SP140	9606.ENSP00000375899	37
SPRED2	9606.ENSP00000348753	22
SPTA1	9606.ENSP00000357129	11
SSTR3	9606.ENSP00000480971	14
STAT3	9606.ENSP00000264657	142
STAT6	9606.ENSP00000300134	109
SUOX	9606.ENSP00000377668	30
SYK	9606.ENSP00000364907	103
SYNGR1	9606.ENSP00000332287	9
TAGAP	9606.ENSP00000356033	91
TCF7	9606.ENSP00000340347	64
TEX40	9606.ENSP00000443917	3
TGFBR1	9606.ENSP00000364133	60
TGFBR2	9606.ENSP00000351905	77
TH	9606.ENSP00000370571	39
THADA	9606.ENSP00000385995	19
THBS3	9606.ENSP00000357362	9
THEMIS	9606.ENSP00000357231	16
TICAM1	9606.ENSP00000248244	41
TMEM194A	9606.ENSP00000300128	5
TMEM258	9606.ENSP00000443216	11
TMPRSS6	9606.ENSP00000371211	11
TNFRSF11A	9606.ENSP00000465500	31
TNFRSF14	9606.ENSP00000347948	86
TNFSF14	9606.ENSP00000469049	56
TNFSF15	9606.ENSP00000363157	71
TNIP1	9606.ENSP00000317891	53
TOM1	9606.ENSP00000413697	9
TPD52	9606.ENSP00000429309	11
TRAF1	9606.ENSP00000362994	88
TRAT1	9606.ENSP00000295756	47
TRIM46	9606.ENSP00000334657	10
TRMT112	9606.ENSP00000438349	14
TSLP	9606.ENSP00000339804	72
TUBD1	9606.ENSP00000320797	16
UBE2E2	9606.ENSP00000379931	21
UBE2L3	9606.ENSP00000400906	42
WDR36	9606.ENSP00000423067	30
WISP1	9606.ENSP00000250160	15
WIZ	9606.ENSP00000263381	9
ZBTB38	9606.ENSP00000426387	8
ZFP36L1	9606.ENSP00000388402	32
ZGLP1	9606.ENSP00000384434	15
ZNF300	9606.ENSP00000397178	10
ZNF335	9606.ENSP00000325326	5
ZNF622	9606.ENSP00000310042	12
ZPBP2	9606.ENSP00000335384	30
