#node	identifier	node_degree
CASP7	9606.ENSP00000358327	16
CD80	9606.ENSP00000264246	22
CXCL3	9606.ENSP00000296026	12
DRD4	9606.ENSP00000176183	3
ERBB3	9606.ENSP00000267101	10
FASLG	9606.ENSP00000356694	19
FCRL3	9606.ENSP00000357167	10
FOS	9606.ENSP00000306245	21
GATA3	9606.ENSP00000368632	18
GRB2	9606.ENSP00000376345	14
GSDMA	9606.ENSP00000301659	5
GSDMB	9606.ENSP00000415049	7
GZMB	9606.ENSP00000216341	21
HAVCR2	9606.ENSP00000312002	11
HSPA6	9606.ENSP00000310219	6
IL10	9606.ENSP00000412237	24
IL12A	9606.ENSP00000303231	10
IL12B	9606.ENSP00000231228	4
IRF5	9606.ENSP00000349770	23
IRF7	9606.ENSP00000380697	19
MFHAS1	9606.ENSP00000276282	2
NOV	9606.ENSP00000259526	1
NRROS	9606.ENSP00000328625	6
OTUD3	9606.ENSP00000364261	1
PF4	9606.ENSP00000296029	7
PIK3R2	9606.ENSP00000222254	7
PTPN22	9606.ENSP00000352833	21
PTPRC	9606.ENSP00000411355	25
RASIP1	9606.ENSP00000222145	0
SCT	9606.ENSP00000176195	2
SESN3	9606.ENSP00000441927	0
SLC15A4	9606.ENSP00000266771	6
TGFBR2	9606.ENSP00000351905	17
TICAM1	9606.ENSP00000248244	13
TNFAIP3	9606.ENSP00000481570	22
TNFSF4	9606.ENSP00000281834	15
TNIP1	9606.ENSP00000317891	10
UBASH3A	9606.ENSP00000317327	10
